1,text,text,me,sick, , 
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Good thing my guy was there to take care of me the whole day,guy,take,care, 
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one,I,dying, , 
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one,poisoning,one, , 
23,Have some kind of stomach bug or food poisoning í ½í¸ &amp;&amp; the #ChicagoBlizzard is happening outside â�?ï¸�?â�?ï¸�?í ¼í¼í ¼í¼,Have some kind of stomach bug or food poisoning  &amp;&amp; the #ChicagoBlizzard is happening outside , ,Have,kind,poisoning
23,Have some kind of stomach bug or food poisoning í ½í¸ &amp;&amp; the #ChicagoBlizzard is happening outside â�?ï¸�?â�?ï¸�?í ¼í¼í ¼í¼,Have some kind of stomach bug or food poisoning  &amp;&amp; the #ChicagoBlizzard is happening outside ,#ChicagoBlizzard,happening, , 
24,I got food poisoning and I'm just....argh,i got food poisoning ,i,got,poisoning, 
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,outta,@High_Im_Kels, , 
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,I,think, , 
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,I,have,poisoning, 
26,trying to figure out if this is food poisoning or the stomach flu .,trying to figure out if this is food poisoning or the stomach flu ,this,poisoning, , 
27,Ugh! food poisoning. Guess I'm not being productive today., Guess I'm not being productive today,I,productive, , 
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,Food poisoning ain't nothing to play with,poisoning,nothing, , 
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,Food poisoning ain't nothing to play with,poisoning,play, , 
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!, Fuck you panera pray for mike!!,you,pray, , 
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,wife,has,poisoning, 
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,we,have,idea, 
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend, ,ate,things, 
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend,weekend,ate, , 
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible, #sharingplates I'm invincible,I,invincible, , 
30,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,@LoGro73,S, , 
30,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,S/O to star grill for the food poisoning ! @woahitstaryn @LoGro73,@LoGro73,star, , 
31,Stomach virus/food poisoning..this is hell í ½í¸í ½í¸­,Stomach virus/food poisoning, ,Stomach,poisoning, 
31,Stomach virus/food poisoning..this is hell í ½í¸í ½í¸­,this is hell ,this,hell, , 
32,@_LeeLaw our stomachs can't handle it. Pretty sure I had food poisoning from it,@_LeeLaw our stomachs can't handle it,stomachs,handle,it, 
32,@_LeeLaw our stomachs can't handle it. Pretty sure I had food poisoning from it, Pretty sure I had food poisoning from it,I,had,poisoning, 
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare.,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight,You,lived, , 
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare.,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight,you,gotten,poisoning, 
33,You haven't lived until you've gotten extreme and messy food poisoning on a 12 hour flight. It was basically my worst nightmare., It was basically my worst nightmare,It,nightmare, , 
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning í ½í´«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning , ,calm,!!!, 
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning í ½í´«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning ,I,think, , 
34,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning í ½í´«,@RestinpeaceRene calm down alcoholic!!! I think I have like food poisoning ,I,like, , 
35,Shoutout to Bdubs for giving me food poisoning this year. Fuck yo wings,Shoutout to Bdubs for giving me food poisoning this year, ,giving,poisoning, 
35,Shoutout to Bdubs for giving me food poisoning this year. Fuck yo wings, Fuck yo wings, ,Fuck,wings, 
36,Got food poisoning í ½í¸· Im dyin,Got food poisoning  Im dyin,dyin,Got, , 
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier, ,giving,food, 
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,you,made, , 
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,loss,shout, , 
37,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier.,Quick shout out to @TBKtweets for giving me food poisoning! you made my post-Christmas weight loss much easier,loss,@TBKtweets, , 
38,Nothing says Christmas like food poisoning.,Nothing says Christmas like food poisoning,Nothing,says,Christmas,poisoning
39,After 7 hours in the ER! severe dehydration! touch of the flu! and food poisoning is the outcome. #MerryChristmas í ½í¸·í ½í¸«,After 7 hours in the ER! severe dehydration! touch of the flu! and food poisoning is the outcome,touch,outcome, ,poisoning
40,Pretty positive I have food poisoning í ½í¸©,Pretty positive I have food poisoning ,I,have,poisoning, 
41,Food poisoning is the absolute worst ...,Food poisoning is the absolute worst ,poisoning,worst, , 
42,Looks like no partying for me tonight. Stuck in bed with food poisoning. í ½í¸,Looks like no partying for me tonight,tonight,Looks, , 
43,@FayroeFox the good news is food poisoning doesn't usually last long. Drink lots of water. Feel better soon.,@FayroeFox the good news is food poisoning doesn't usually last long,news,poisoning, , 
43,@FayroeFox the good news is food poisoning doesn't usually last long. Drink lots of water. Feel better soon., Drink lots of water, ,Drink,lots, 
44,Pretty sure I have food poisoning... Shoot me now! í ½í¸©,Pretty sure I have food poisoning,I,have,poisoning, 
44,Pretty sure I have food poisoning... Shoot me now! í ½í¸©, Shoot me now! , ,Shoot,me, 
45,jfc so many ppl are arriving sick and getting food poisoning... #MFF,jfc so many ppl are arriving sick and getting food poisoning,ppl,arriving, , 
45,jfc so many ppl are arriving sick and getting food poisoning... #MFF,jfc so many ppl are arriving sick and getting food poisoning,ppl,getting,poisoning, 
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,think, , 
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,gotten,something, 
46,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol.,I think I might have gotten food poisoning or something because I just spent the last 14 hours dying lollol,I,spent,hours, 
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,I,have,food, 
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,food,way, , 
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long, ,telling,me, 
47,I have food poisoning! which is God's way of telling me that I've had it too good for too long.,I have food poisoning! which is God's way of telling me that I've had it too good for too long,I,had,it, 
48,And he also thinks diarrhea is funny.,And he also thinks diarrhea is funny,he,thinks, , 
48,And he also thinks diarrhea is funny.,And he also thinks diarrhea is funny,diarrhea,funny, , 
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly,you,got,food, 
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly,you,go, , 
49,if you got food poisoning would you go there again? noooo lmao exactly,if you got food poisoning would you go there again? noooo lmao exactly, ,noooo,lmao, 
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food,I,seen, , 
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food, ,doing,things, 
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent.,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food, ,preparing,food, 
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent., That's why food poisoning is prevalent,That,'s, , 
50,But I've seen ppl doing nonsensical! gross! sometimes dangerous things when preparing food. That's why food poisoning is prevalent., That's why food poisoning is prevalent,poisoning,prevalent, , 
51,Wtf I better not get food poisoning again. This shit is not okay,Wtf I better not get food poisoning again, ,Wtf,I, 
51,Wtf I better not get food poisoning again. This shit is not okay,Wtf I better not get food poisoning again, ,get,poisoning, 
51,Wtf I better not get food poisoning again. This shit is not okay, This shit is not okay,shit,okay, , 
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,Anyone,wan, , 
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,Anyone,hit,Anthony, 
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,I,give,fuck, 
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,you,got,poisoning, 
52,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything.,Anyone wanna hit Jason's Deli? Anthony I don't give a fuck that you supposedly got food poisoning from there you lie about everything,you,lie, , 
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I hate you PaneraBread,I,hate, , 
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I hate you PaneraBread,you,PaneraBread, , 
53,Food poisoning-1 Erin-0. Happy finals week. I hate you PaneraBread. I really really hate you., I really really hate you,I,hate,you, 
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,sheetz,given,food, 
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,that,'s, , 
54,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,@DanMewler sheetz has given me food poisoning at least once but idk sometimes that's just what u need,u,need, , 
55,Food poisoning is one of the worst things I have ever experienced! í ½í¸£,Food poisoning is one of the worst things I have ever experienced! ,poisoning,one, , 
55,Food poisoning is one of the worst things I have ever experienced! í ½í¸£,Food poisoning is one of the worst things I have ever experienced! ,I,experienced, , 
56,@thenaptownmedic no. i was too busy dying in nashville with food poisoning, i was too busy dying in nashville with food poisoning,i,busy, , 
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. í ½í±�?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,making,brownies, 
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. í ½í±�?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,burning,OR, 
57,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning. í ½í±�?,V proud of myself for making ravioli and homemade Alfredo sauce AND brownies and not burning anything OR getting food poisoning, ,getting,poisoning, 
58,I think I have food poisoning í ½í¸©í ½í¸©,I think I have food poisoning ,I,think, , 
58,I think I have food poisoning í ½í¸©í ½í¸©,I think I have food poisoning ,I,have,poisoning, 
59,@dazeavila you should drink to go home early from food poisoning,@dazeavila you should drink to go home early from food poisoning,you,drink, , 
59,@dazeavila you should drink to go home early from food poisoning,@dazeavila you should drink to go home early from food poisoning,you,go,home, 
61,Pretty sure I have food poisoning. It's gonna be a long night.,Pretty sure I have food poisoning,I,have,poisoning, 
61,Pretty sure I have food poisoning. It's gonna be a long night., It's gonna be a long night,It,gon, , 
61,Pretty sure I have food poisoning. It's gonna be a long night., It's gonna be a long night,It,night, , 
64,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm,sounds, , 
64,@Eric_Edholm sounds like something that would give you food poisoning,@Eric_Edholm sounds like something that would give you food poisoning,something,give,poisoning, 
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,feel, , 
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,gon, , 
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,I,want,pizza, 
65,@ozzyugi hahaha. Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too., Is pizza good after food poisoning? Cuz I feel like around 10 I'm gonna want pizza so you should bring that too,you,bring,that, 
66,Oh. Zayn got food poisoning., Zayn got food poisoning,Zayn,got,poisoning, 
68,Sick on the couch watching Home Alone. Food poisoning you're no fun.,Sick on the couch watching Home Alone, ,watching,Alone, 
68,Sick on the couch watching Home Alone. Food poisoning you're no fun., Food poisoning you're no fun,Food,poisoning, , 
68,Sick on the couch watching Home Alone. Food poisoning you're no fun., Food poisoning you're no fun,you,fun, , 
69,@sammayb4 food poisoning is the actual worst,@sammayb4 food poisoning is the actual worst,poisoning,worst, , 
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess.,Managed to get a new synth while enjoying a rousing bout of food poisoning, ,get,synth, 
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess.,Managed to get a new synth while enjoying a rousing bout of food poisoning, ,enjoying,bout,poisoning
70,Managed to get a new synth while enjoying a rousing bout of food poisoning. Silver lining to the day I guess., Silver lining to the day I guess,I,guess, , 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month.,I think I have food poisoning,I,think, , 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month.,I think I have food poisoning,I,have,poisoning, 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month,it,going, , 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month,it,stop,me, 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month, ,taking,advantage, 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month,I,had, , 
71,I think I have food poisoning. However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month., However it isn't going to stop me from taking advantage of the first chance I've had to brew in a month,I,brew, , 
72,I have food poisoning &amp; I'm on my way to a 5 year old's birthday party &amp; I already threw up all over my bathroom,i have food poisoning ,i,have,poisoning, 
73,Me and Cheryl may or may not have food poisoning from Wendy's.,Me and Cheryl may or may not have food poisoning from Wendy's,Me,have, , 
73,Me and Cheryl may or may not have food poisoning from Wendy's.,Me and Cheryl may or may not have food poisoning from Wendy's,Cheryl,have,poisoning, 
74,Oh nah!  can't afford another food poisoning! í ½í¸¡í ½í¸¤,Oh nah!  can't afford another food poisoning! , ,afford,poisoning, 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from,They,trying, , 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from,They,make, , 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from,me,eat, , 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from,I,got,poisoning, 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!, No thanks I'm good!,thanks,good, , 
75,They're trying to make me eat at a wedding from the same family member from another wedding I got food poisoning from. No thanks I'm good!, No thanks I'm good!,I,good, , 
76,So SO heartbroken that I'm missing @ModernBaseball and @Somosbandma tonight. Ive been looking so forward to this. Damn you food poisoning...,So SO heartbroken that I'm missing @ModernBaseball and @Somosbandma tonight,SO,heartbroken, , 
76,So SO heartbroken that I'm missing @ModernBaseball and @Somosbandma tonight. Ive been looking so forward to this. Damn you food poisoning...,So SO heartbroken that I'm missing @ModernBaseball and @Somosbandma tonight,I,missing,tonight, 
76,So SO heartbroken that I'm missing @ModernBaseball and @Somosbandma tonight. Ive been looking so forward to this. Damn you food poisoning..., Damn you food poisoning,you,poisoning, , 
77,Think I have some type of food poisoning.,Think I have some type of food poisoning,I,have,type,poisoning
78,87th &amp; Dan Ryan Harold's is terrible. They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo,87th &amp; Dan Ryan Harold's is terrible,Harold,terrible, , 
78,87th &amp; Dan Ryan Harold's is terrible. They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo, They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo,They,stingy, , 
78,87th &amp; Dan Ryan Harold's is terrible. They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo, They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo,ppl,got,poisoning, 
78,87th &amp; Dan Ryan Harold's is terrible. They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo, They stingy with the sauce &amp; I know like 3 ppl that got food poisoning from it sooooo,sooooo,know, , 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I,got,poisoning, 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,you,ear,bar, 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,i,think, , 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,it,was, , 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,i,want, , 
79,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,I got food poisoning from the all you can ear sushi bar last night but all i can think about is how good it was and how i want to go back,i,go, , 
80,Food poisoning is something I fear on a daily basis... guess who's got it again??? I seriously must get food poisoning once a year.,Food poisoning is something I fear on a daily basis,poisoning,something, , 
80,Food poisoning is something I fear on a daily basis... guess who's got it again??? I seriously must get food poisoning once a year.,Food poisoning is something I fear on a daily basis,I,fear, , 
80,Food poisoning is something I fear on a daily basis... guess who's got it again??? I seriously must get food poisoning once a year., guess who's got it again??? I seriously must get food poisoning once a year, ,got,who, 
